,title,link,view,upload_date,video_pk
118,연남동 ‘불철’ 꼭 가보세요. 미친 분위기.#연남동 #연남동맛집 #연남동데이트,https://www.youtube.com/shorts/8iIsi-G-JUs,196회,1년 전,8iIsi-G-JUs
119,#연남동 #월량관 #어향가지 😍😍😍 #연남동맛집,https://www.youtube.com/shorts/5sgFXIsZDAc,178회,2년 전,5sgFXIsZDAc
120,함박스테이크에 진심인곳 #연남동맛집 #저메추 #점메추 #함박스테이크 #연남다저스,https://www.youtube.com/shorts/gW84EinqzUI,2.4천회,1년 전,gW84EinqzUI
121,1분 깨슐랭 shorts │ 영동감자탕 │ 감자국 │ 뼈국 │ 연남동맛집 │ 연희동맛집,https://www.youtube.com/shorts/lJNgaBb4f3k,1.2천회,2년 전,lJNgaBb4f3k
122,연남동 육즙팡팡 세상 촉촉한 함박 맛집 “도쿄함박”,https://www.youtube.com/shorts/ZG8KrkI7eU4,1.3천회,1년 전,ZG8KrkI7eU4
123,너무 맛있어서 미쳐부려 🫢 #어란파스타 #토파 #연남맛집 #연남동맛집 #파스타맛집 #인생파스타,https://www.youtube.com/shorts/BCLqsa13sjs,67회,1년 전,BCLqsa13sjs
124,연남동 띠옷🍰(#연남동카페 #연남동맛집 #케이크맛집 #디저트카페),https://www.youtube.com/shorts/O92vk-t0tAE,936회,1년 전,O92vk-t0tAE
125,#모래내시장 #밀떡 #떡볶이추천 #가좌역 #떡볶이 #떡볶이맛집 #연남동 #연남동맛집 #신흥떡볶이 #tteokbokki #연휴 #맛집 #떡볶이먹방 #떡볶이asmr #어린이날,https://www.youtube.com/shorts/CLnYtU8OAm8,650회,1년 전,CLnYtU8OAm8
126,소유 | 연예인빌딩 | 빌딩투자 | 연남동 | 반미프엉 #shorts #소유 #연남동맛집 #반미프엉 #연예인빌딩 #빌딩투자,https://www.youtube.com/shorts/UYeN2xYJH2s,1.4천회,1년 전,UYeN2xYJH2s
127,음식 퀄리티에 비해 가성비가 넘나 좋은 음식점!! #홍대맛집#연남동미자씨#미자씨#파스타#해물찜#코스요리#홍대맛집#연남동맛집#내돈내산리뷰,https://www.youtube.com/shorts/-UX3QHTO5uU,813회,1년 전,-UX3QHTO5uU
128,#shorts #낙지낚찌 #낙지볶음 #낙지볶음맛집 #홍대맛집 #연남동맛집,https://www.youtube.com/shorts/8i5Q7l-HcfU,5.3천회,1개월 전,8i5Q7l-HcfU
129,#하우에버연남 #연남동카페 #연남동핫플 #연남동맛집 #카스테라,https://www.youtube.com/shorts/SfvXxe05304,206회,1년 전,SfvXxe05304
130,#연남동 #초이다이닝 #연남동맛집 #연트럴파크 #맛집 #맛집공유,https://www.youtube.com/shorts/6r9kJw0r7mo,836회,1년 전,6r9kJw0r7mo
131,#연남동 #개화연 #연남동맛집 #고량주 #백주오마카세,https://www.youtube.com/shorts/mk_BfF3jjRk,165회,1년 전,mk_BfF3jjRk
132,분위기좋은 술집^^ 연남동 술집🍹🍾 조용한술집^^ '이끔' #shorts #연남동맛집 #seoul,https://www.youtube.com/shorts/F-vJQ14t-sE,1.8천회,1년 전,F-vJQ14t-sE
133,연남동 포가레 곱창쌀국수 반세오 #연남동맛집 #연남동쌀국수,https://www.youtube.com/shorts/ZyA99-7rfNo,1.1천회,1년 전,ZyA99-7rfNo
134,연남동 장끼전 #연남동맛집 #단골집 #단골손님,https://www.youtube.com/shorts/alaqZJLIo3o,307회,1년 전,alaqZJLIo3o
135,#연남동 #월량관 #어향가지 😍😍😍 맛있다 👍👍👍 #연남동맛집 #연남동중식당,https://www.youtube.com/shorts/Z1RMv7D6Zz0,157회,1년 전,Z1RMv7D6Zz0
136,연남동 돼지고기의 끝판왕~ 숲길정육점! #연남동맛집 #고기맛집 #항정살 #맛집 #맛집공유,https://www.youtube.com/shorts/eQ3ZrPCUKl4,627회,11개월 전,eQ3ZrPCUKl4
137,연남동 맛집 서울장 순살양념게장 연어 스테키동 토마토샐러드 먹방 김톰슨 #Shorts,https://www.youtube.com/shorts/fXWqVBeAMKI,158회,2년 전,fXWqVBeAMKI
138,"회사 삼실 있는 연남동 맛집🍛인도커리 ""아마"". 홍콩아이스크림 ""홍콩 동윤영"" 발리음식 ""발리문""",https://www.youtube.com/shorts/lTpXahDZzq4,79회,1년 전,lTpXahDZzq4
139,#연남동맛집 #단디 #사케동 #하이볼 #짐빔하이볼 #사케동맛집 #먹방 #홍대 #shorts,https://www.youtube.com/shorts/JxZPC1mr_fE,1.3천회,1년 전,JxZPC1mr_fE
140,#브런치맛집 #연남동맛집 #shorts #seoul #brunch,https://www.youtube.com/shorts/MkMrQvyfvbM,747회,1년 전,MkMrQvyfvbM
141,#떡볶이맛집 #모래내시장 #밀떡 #tteokbokki #연남동 #떡볶이 #홍대 #トッポッキ #연남동맛집 #가좌역 #떡볶이추천 #신흥떡볶이 #떡볶이asmr #떡볶이소스 #떡볶이만들기,https://www.youtube.com/shorts/PtQN1nX1QXI,115회,1년 전,PtQN1nX1QXI
142,연남동 구경#연남동 #연남동맛집 #연남동카페 #연남동브이로그,https://www.youtube.com/shorts/oOyFwCBot-g,229회,11개월 전,oOyFwCBot-g
143,2번실패하고 3번만에 성공한 연남동맛집 후토마끼내사랑💗 왜 다 맛있냐🥹,https://www.youtube.com/shorts/hK5MDyJQOjg,610회,1년 전,hK5MDyJQOjg
144,연남동맛집 :: 열정타코,https://www.youtube.com/shorts/i0swSVhpt2g,394회,1년 전,i0swSVhpt2g
145,[홍대맛집 연남동맛집] 만두에 진심이라면 무조건 가보자 연남동 만두 성지 연교,https://www.youtube.com/shorts/vZqDbAGC-Mc,2.1천회,1년 전,vZqDbAGC-Mc
146,연남동 줄서서먹는 맛집 #연하동 #연남동 #연남동맛집 #홍대맛집 #꼬꼬동 #연어국수 #연어초밥 #연어유부,https://www.youtube.com/shorts/3tYZ77cxucc,2.3천회,1년 전,3tYZ77cxucc
147,#연남동맛집 #바베큐 #홍대맛집 #연남동 은 축복의 도시,https://www.youtube.com/shorts/gqSbPGqsIJY,6.1만회,1개월 전,gqSbPGqsIJY
